topic,programming,sql,visualisation_bi,reporting,excel,statistics,machine_learning,data_cleaning,etl,data_modelling,cloud,stakeholder_comm,ethics_governance
0,0.0814,0.0343,0.1243,0.1133,-0.0337,0.0462,0.0601,0.0473,0.0452,0.1053,0.0262,0.1262,0.1323
1,0.1632,0.1163,0.4002,0.3472,0.2325,0.2809,0.198,0.2074,0.3052,0.2841,0.2534,0.1705,0.2771
2,0.1925,0.1021,0.1332,0.185,0.1899,0.1171,0.2093,0.154,0.1331,0.1726,0.1754,0.1257,0.1792
3,0.2169,0.1531,0.2013,0.2128,0.1334,0.1928,0.2287,0.1071,0.1401,0.2178,0.2481,0.0493,0.1495
4,0.1169,0.0333,0.0578,0.1257,-0.0012,0.0738,0.1021,0.0821,0.0463,0.1398,0.0665,0.0887,0.0587
5,0.2128,0.1642,0.1573,0.22,0.1263,0.118,0.1234,0.0156,0.1136,0.2211,0.0697,0.2009,0.0456
6,0.2079,0.1366,0.1732,0.2149,0.1339,0.2085,0.1539,0.0641,0.1353,0.1983,0.1137,0.094,0.1032
7,0.1414,0.0767,0.1108,0.2281,0.0392,0.1595,0.1796,-0.004,0.1332,0.1434,0.0225,0.1007,0.0571
8,0.2797,0.2866,0.5966,0.3556,0.4679,0.2158,0.1661,0.3246,0.4413,0.3342,0.3198,0.1136,0.26
9,0.2241,0.0823,0.182,0.1702,0.3509,0.1572,0.1584,0.1022,0.1517,0.144,0.1877,0.0147,0.0909
10,0.1099,0.0317,0.1203,0.1351,0.1406,0.2884,0.1345,0.0552,0.169,0.1388,0.1804,-0.0695,0.2226
11,0.1973,0.1121,0.1755,0.1875,0.1149,0.1665,0.202,0.0244,0.1212,0.1524,0.1416,0.0924,0.1089
12,0.1945,0.2011,0.3068,0.5025,0.2975,0.4114,0.1961,0.1862,0.2266,0.2679,0.0775,0.1826,0.1589
13,0.2009,0.0755,0.1439,0.2056,0.1888,0.1451,0.1235,-0.0201,0.1593,0.2061,0.1533,0.1935,0.0019
14,0.1706,0.0886,0.2522,0.3112,0.2043,0.282,0.1709,0.0579,0.1502,0.1497,0.1,0.2143,0.1617
15,0.2108,0.0538,0.1892,0.1691,0.1047,0.1347,0.2107,0.1296,0.215,0.1602,0.2453,0.2172,0.2073
16,0.3368,0.1251,0.2916,0.3433,0.281,0.1712,0.2158,0.163,0.3272,0.3812,0.183,0.2301,0.1665
17,0.1534,0.1417,0.229,0.3297,0.185,0.5332,0.3073,0.0553,0.1278,0.2189,0.071,0.0428,0.1326
18,0.1072,0.0672,0.0873,0.1716,0.0077,0.0935,0.1763,0.1117,0.1209,0.2007,0.0905,0.1105,0.1275
19,0.216,0.0968,0.1343,0.3064,0.0989,0.0481,0.1062,0.1035,0.1113,0.1741,0.0783,0.2252,0.1042
20,0.1321,0.1828,0.1181,0.0838,0.1456,0.1378,0.147,0.0563,0.0765,0.129,0.1866,0.0295,0.0823
21,0.1521,0.0511,0.1985,0.314,0.1001,0.2197,0.1751,0.0753,0.0812,0.1813,0.1076,0.1574,0.0881
22,0.0909,0.0694,0.2383,0.2128,0.078,0.1085,0.1256,0.4053,0.1959,0.261,0.2108,0.252,0.4739
23,0.2365,0.1634,0.3851,0.2328,0.2628,0.3514,0.2928,0.2711,0.2965,0.3393,0.2031,0.0769,0.2881
24,0.3772,0.2514,0.3712,0.2613,0.2945,0.198,0.221,0.2198,0.4008,0.3471,0.4238,0.1388,0.2435
25,0.1971,0.1442,0.1319,0.2134,0.1942,0.1649,0.1535,0.1368,0.1803,0.2272,0.1693,0.0896,0.2179
26,0.1473,0.1261,0.1976,0.3024,0.1329,0.2716,0.2096,0.1041,0.1873,0.2298,0.0892,0.1736,0.1411
27,0.1855,0.2036,0.3125,0.456,0.22,0.3383,0.1705,0.0893,0.188,0.1933,0.0917,0.2467,0.1831
28,0.0985,0.097,0.2742,0.2907,0.1397,0.0992,0.1327,0.0753,0.2328,0.2872,0.1484,0.5372,0.2143
29,0.1757,0.1162,0.0815,0.1685,0.0391,0.1527,0.1409,0.0344,0.0609,0.15,0.1194,0.1296,0.143
30,0.0874,0.1499,0.128,0.142,0.0023,0.1204,0.1864,0.1628,0.0443,0.1351,0.139,0.122,0.1231
31,0.2146,0.0835,0.2998,0.3217,0.2839,0.2494,0.1445,0.0949,0.233,0.2053,0.1378,0.2178,0.1627
32,0.1612,0.1321,0.223,0.2131,0.1284,0.1515,0.098,0.018,0.142,0.1788,0.1374,0.2504,0.0867
33,0.5677,0.2539,0.2277,0.1667,0.2431,0.2151,0.1602,0.115,0.2753,0.2209,0.2045,0.0036,0.1217
34,0.1373,0.2148,0.4266,0.6833,0.2254,0.3181,0.1878,0.2676,0.3036,0.3631,0.1554,0.4426,0.3453
