topic,n_segments,n_postings,top_terms,mapped_category,affinity,runner_up,bertopic_name
1,1180,357,"data, analytics, senior, team, insights, intelligence, will, analyst, science, the",visualisation_bi,0.4002,reporting,1_data_analytics_senior_team
0,1160,389,"we, diversity, inclusive, equal, our, gender, culture, status, committed, sexual",ethics_governance,0.1323,stakeholder_comm,0_we_diversity_inclusive_equal
2,758,365,"please, if, cv, apply, recruitment, you, your, application, contact, this",machine_learning,0.2093,programming,2_please_if_cv_apply
3,671,419,"hybrid, office, working, flexible, week, days, home, london, location, based",cloud,0.2481,machine_learning,3_hybrid_office_working_flexible
15,592,295,"digital, technology, it, our, technologies, the, transformation, of, solutions, is",cloud,0.2453,stakeholder_comm,15_digital_technology_it_our
42,526,312,"opportunity, growth, join, exciting, company, our, innovation, an, we, career",reporting,0.2618,statistics,42_opportunity_growth_join_exciting
4,452,335,"communication, written, skills, excellent, verbal, interpersonal, strong, ability, presentation, communicator",data_modelling,0.1398,reporting,4_communication_written_skills_excellent
28,448,294,"stakeholders, relationships, with, needs, business, key, requirements, internal, understand, collaborate",stakeholder_comm,0.5372,reporting,28_stakeholders_relationships_with_needs
7,434,271,"learning, career, development, training, opportunities, professional, your, progression, learn, continuous",reporting,0.2281,machine_learning,7_learning_career_development_training
34,431,261,"reporting, reports, data, and, regular, management, stakeholders, performance, provide, report",reporting,0.6833,stakeholder_comm,34_reporting_reports_data_and
16,422,203,"requirements, business, functional, translate, solution, specifications, needs, into, gathering, document",data_modelling,0.3812,reporting,16_requirements_business_functional_translate
12,401,203,"reporting, monthly, financial, weekly, reports, performance, analysis, packs, preparation, prepare",reporting,0.5025,statistics,12_reporting_monthly_financial_weekly
5,398,268,"benefits, bonus, competitive, package, salary, scheme, offer, annual, pension, reward",data_modelling,0.2211,reporting,5_benefits_bonus_competitive_package
14,390,230,"analyst, business, analysts, will, as, role, senior, change, the, you",reporting,0.3112,statistics,14_analyst_business_analysts_will
32,377,207,"finance, financial, commercial, team, partner, the, support, business, partnering, teams",stakeholder_comm,0.2504,visualisation_bi,32_finance_financial_commercial_team
6,373,283,"analytical, problemsolving, problem, skills, solving, strong, ability, thinking, problems, detail",reporting,0.2149,statistics,6_analytical_problemsolving_problem_skills
23,345,234,"data, complex, sets, large, datasets, analysis, interpret, statistical, analytical, ability",visualisation_bi,0.3851,statistics,23_data_complex_sets_large
30,335,207,"over, countries, uk, brands, than, world, global, across, group, worlds",machine_learning,0.1864,data_cleaning,30_over_countries_uk_brands
54,333,200,"supply, chain, delivery, product, procurement, with, suppliers, teams, party, the",etl,0.2582,stakeholder_comm,54_supply_chain_delivery_product
18,321,257,"skills, experience, qualifications, following, required, knowledge, essential, need, have, be",data_modelling,0.2007,machine_learning,18_skills_experience_qualifications_following
69,309,203,"project, projects, management, delivery, manage, managers, support, teams, manager, planning",reporting,0.3974,data_modelling,69_project_projects_management_delivery
22,307,170,"data, quality, integrity, governance, ensure, accuracy, maintain, security, ensuring, validation",ethics_governance,0.4739,data_cleaning,22_data_quality_integrity_governance
36,298,176,"financial, banking, asset, services, experience, trading, finance, markets, understanding, knowledge",statistics,0.2611,visualisation_bi,36_financial_banking_asset_services
