posting_id,segment_index,segment,topic
P001,0,"Grow your career at a successful, Bristol based agency.",7
P001,1,Amazing opportunity to work with some of the biggest brands in sports and entertainment such as FIFA and UEFA.,42
P001,2,"Work alongside some industry experts, across varied projects and clients.",83
P001,3,"Have you always wanted to work in an agency providing insights and actionable recommendations to a number of high-profile sports and entertainment clients? If so, this is the perfect role for a Data Science and Analytics Consultant looking to make the move into a role using data to reach a global audience.",1
P001,4,What You’ll Be Doing,46
P001,5,"You’ll be working in a varied role across data analytics, data science and more.",1
P001,6,"You’ll have the chance to work on projects like the European Football Championship around fan engagement, digital campaigns and analysis across apps and football trends.",15
P001,7,"You’ll be looking at customer insight from a technical perspective and have the chance to use data science and digital analytics skills to understand customer behaviour and interact with sports fans. You’ll be able to do the research, analysis and deployment of algorithms, working end to end to understand who these people are.",1
P001,8,"In this role you’ll be working with a range of audience engagement tools, talking directly to clients and football fans and developing a relationship with the likes of FIFA, UEFA and Red Bull. The clients you’ll be working with are varied, interesting and have a lot going on – just like this role!",87
P001,9,Sound like you? Reach out with an updated and we can chat further!,88
P001,10,What Experience You’ll Need To Apply,2
P001,11,A keen passion and interest in sports (especially football),18
P001,12,"Excellent SQL experience, ideally confident using SQL to manipulate data",65
P001,13,Experience working with Python,33
P001,14,"Able to deploy algorithms and work end to end across research, analysis and deployment",1
P001,15,"Previous experience using a visualisation tool (such as Tableau, PowerBI etc.)",8
P001,16,Interest to progress your career and grow,7
P001,17,Ideally coming from an agency background,2
P001,18,What You’ll Get In Return For Your Experience,102
P001,19,"A salary up to £50,000 DOE, plus a chance to work with global clients across major projects. They have great benefits including an autonomous working environment, flexible working hours and a supportive team.",11
P001,20,"They deeply value work-life balance, which is why they’ve adopted a hybrid working model that requires team members to be present in their Bristol office twice a week as a minimum.",3
P001,21,Please contact Tegan with an up-to-date CV today,2
P002,0,We are looking for a,104
P002,1,Huws Gray Supply Chain Solutions,54
P002,2,"If you’re in the trade or have ever tackled a home improvement project, you’ve probably heard of us.",88
P002,3,"We’re the Huws Gray Group and we’re made up of a number of brands, including Huws Gray, Hirebase, Civils & Lintels, The Timber Group, PDM, NDI and Anglia Tool Centre to name a few.",30
P002,4,"Up and down the UK, our branches are serving and supporting our local communities with all their building material needs, but we couldn’t do this without the right people, so why not join us?",56
P002,5,"Our Supply Chain Solutions team work with Public Sector and Local Authority customers and serve them with their building material needs through our Partnering Stores across the UK, Distribution Centres, Rapid Response Delivery Vehicles and Van Stock. We enable them to create and maintain their housing stock with our products where and when they need them.",54
P002,6,We are looking for a Senior Data Analyst to join our team based in Nottingham.,1
P002,7,"You will be responsible for the overall administrative and reporting functions within the Huws Gray Supply Chain Solutions team, including the line management of our Data and Admin teams.",70
P002,8,We're looking for someone to take the team from strenght to strength whilst having a love of data and an expectional knowledge of Excel.,1
P002,9,"This is an extremely fast paced team, with a variety administrative and data requests coming through every day, as well as a high volume of both scheduled and ad-hoc reports and KPIs.",50
P002,10,Here’s a Quick Overview Of Some Of The Things You Can Expect To Do As a Senior Data Analyst With Huws Gray,1
P002,11,Responsible for the data and admin function of the Huws Gray Supply Chain Solutions department,54
P002,12,"Production of scheduled customer reports on a daily, weekly, and monthly basis",12
P002,13,"Ensuring reports are accurate, timely and professionally presented",34
